OrderDate,Region,Carrier,TransportMode,DistanceKM,ShipmentVolumeUnits,WarehouseHandlingHrs,FuelSurchargePct,DeliveryTimeHrs
2025-01-10 02:40:24.030037546,South,Carrier C,Sea,1189.75,59,1.19,2.08,38.7
2025-01-10 13:36:25.231539424,North,Carrier D,Road,197.35,67,3.42,2.96,10.71
2025-01-11 00:32:26.433041301,South,Carrier B,Road,1427.63,75,5.66,16.48,32.85
2025-01-11 11:28:27.634543178,West,Carrier C,Road,2396.18,45,3.42,12.36,45.2
2025-01-11 22:24:28.836045056,West,Carrier D,Rail,479.49,4,6.66,6.37,15.15
2025-01-12 09:20:30.037546933,South,Carrier D,Sea,1740.51,26,5.34,4.84,57.15
2025-01-12 20:16:31.239048811,South,Carrier C,Road,542.29,27,4.26,6.71,13.56
2025-01-13 07:12:32.440550688,South,Carrier B,Road,1362.78,46,9.54,3.84,34.41
2025-01-13 18:08:33.642052565,West,Carrier C,Air,286.86,64,6.69,17.06,9.84
2025-01-14 05:04:34.843554443,West,Carrier D,Rail,1153.41,91,2.17,14.55,15.04
2025-01-14 16:00:36.045056320,North,Carrier A,Road,1902.6,51,6.04,9.4,42.83
2025-01-15 02:56:37.246558197,North,Carrier A,Rail,901.55,50,8.03,15.84,20.23
2025-01-15 13:52:38.448060075,West,Carrier C,Road,1679.03,6,7.38,5.99,35.46
2025-01-16 00:48:39.649561952,South,Carrier D,Road,1998.85,59,2.55,13.47,36.62
2025-01-16 11:44:40.851063829,South,Carrier A,Rail,2321.59,15,9.75,15.7,41.01
2025-01-16 22:40:42.052565707,North,Carrier D,Road,624.87,30,5.04,7.71,13.74
2025-01-17 09:36:43.254067584,West,Carrier C,Sea,1028.32,42,2.43,14.12,35.71
2025-01-17 20:32:44.455569461,North,Carrier A,Road,423.42,37,2.62,6.72,11.4
2025-01-18 07:28:45.657071339,North,Carrier D,Rail,2481.58,42,1.88,6.78,39.68
2025-01-18 18:24:46.858573216,East,Carrier A,Rail,2321.15,35,8.23,3.71,42.63
2025-01-19 05:20:48.060075093,East,Carrier C,Road,1372.89,87,2.1,9.04,27.19
2025-01-19 16:16:49.261576971,East,Carrier D,Rail,2112.98,6,2.13,13.68,32.48
2025-01-20 03:12:50.463078848,South,Carrier A,Road,1326.35,68,8.65,17.04,31.9
2025-01-20 14:08:51.664580725,West,Carrier C,Sea,1577.78,18,4.1,11.66,48.49
2025-01-21 01:04:52.866082603,West,Carrier A,Road,268.35,73,1.28,15.81,3.06
2025-01-21 12:00:54.067584480,West,Carrier A,Road,1900.41,29,1.47,15.16,38.4
2025-01-21 22:56:55.269086357,West,Carrier B,Road,362.9,77,2.28,4.77,4.89
2025-01-22 09:52:56.470588235,East,Carrier B,Sea,2073.87,59,2.92,9.77,59.84
2025-01-22 20:48:57.672090112,South,Carrier C,Rail,1965.97,47,6.99,3.87,39.5
2025-01-23 07:44:58.873591989,South,Carrier B,Rail,1786.42,17,2.42,12.91,28.24
2025-01-23 18:41:00.075093867,East,Carrier C,Road,138.59,96,2.07,17.2,4.98
2025-01-24 05:37:01.276595744,South,Carrier B,Air,792.66,22,7.88,4.19,10.5
2025-01-24 16:33:02.478097622,East,Carrier A,Road,694.63,68,7.04,13.74,16.28
2025-01-25 03:29:03.679599499,West,Carrier C,Sea,932.33,69,4.92,12.12,28.49
2025-01-25 14:25:04.881101376,East,Carrier C,Road,264.72,37,5.94,11.34,9.78
2025-01-26 01:21:06.082603254,West,Carrier A,Road,2345.55,49,3.81,8.24,44.47
2025-01-26 12:17:07.284105131,West,Carrier C,Road,1406.82,13,5.34,7.68,30.76
2025-01-26 23:13:08.485607008,North,Carrier C,Rail,798.53,34,5.56,2.72,18.04
2025-01-27 10:09:09.687108886,East,Carrier B,Rail,1022.6,86,4.49,5.49,22.15
2025-01-27 21:05:10.888610763,North,Carrier C,Road,1145.65,53,9.16,2.24,31.77
2025-01-28 08:01:12.090112640,East,Carrier D,Air,1521.46,87,1.14,11.3,1.3
2025-01-28 18:57:13.291614518,East,Carrier A,Rail,1313.41,51,8.04,3.69,25.98
2025-01-29 05:53:14.493116395,North,Carrier B,Rail,2302.51,3,2.12,15.97,33.59
2025-01-29 16:49:15.694618272,North,Carrier B,Road,1267.56,42,8.18,10.37,28.99
2025-01-30 03:45:16.896120150,East,Carrier D,Road,2480.79,98,6.54,13.2,48.91
2025-01-30 14:41:18.097622027,South,Carrier A,Rail,2135.99,32,8.59,8.57,42.77
2025-01-31 01:37:19.299123904,West,Carrier A,Road,560.85,51,1.88,10.97,12.1
2025-01-31 12:33:20.500625782,North,Carrier B,Road,2329.96,85,6.03,17.08,47.9
2025-01-31 23:29:21.702127659,West,Carrier C,Sea,335.1,46,5.51,3.32,16.15
2025-02-01 10:25:22.903629536,South,Carrier B,Sea,2052.75,21,7.36,6.06,67.18
2025-02-01 21:21:24.105131414,South,Carrier A,Road,982.53,44,5.81,14.48,26.13
2025-02-02 08:17:25.306633291,South,Carrier D,Road,2201.04,11,5.87,3.58,44.25
2025-02-02 19:13:26.508135169,North,Carrier B,Rail,2176.74,68,4.87,3.21,36.85
2025-02-03 06:09:27.709637046,South,Carrier A,Road,2024.52,1,3.78,7.78,38.58
2025-02-03 17:05:28.911138923,North,Carrier B,Road,1985.57,92,5.34,3.47,41.02
2025-02-04 04:01:30.112640801,South,Carrier C,Road,796.46,63,2.07,11.36,16.67
2025-02-04 14:57:31.314142678,West,Carrier B,Air,248.25,24,9.65,5.62,10.38
2025-02-05 01:53:32.515644555,West,Carrier B,Rail,1037.3,99,7.43,16.33,22.49
2025-02-05 12:49:33.717146433,East,Carrier A,Road,475.14,13,9.57,14.54,19.98
2025-02-05 23:45:34.918648310,West,Carrier A,Road,1752.63,98,3.04,13.2,33.59
2025-02-06 10:41:36.120150187,East,Carrier A,Road,897.94,11,8.91,11.87,25.64
2025-02-06 21:37:37.321652065,West,Carrier B,Rail,2440.24,100,8.28,15.82,41.47
2025-02-07 08:33:38.523153942,North,Carrier C,Road,1620.38,51,7.09,5.57,42.98
2025-02-07 19:29:39.724655819,West,Carrier D,Road,2065.08,17,6.63,15.97,42.16
2025-02-08 06:25:40.926157697,East,Carrier D,Air,374.69,99,3.85,14.63,2.88
2025-02-08 17:21:42.127659574,East,Carrier A,Road,2161.94,82,8.35,13.97,49.6
2025-02-09 04:17:43.329161451,South,Carrier A,Rail,2310.76,86,5.51,10.98,37.58
2025-02-09 15:13:44.530663329,North,Carrier B,Road,1243.3,24,1.64,5.94,26.19
2025-02-10 02:09:45.732165206,West,Carrier D,Road,1535.32,19,3.82,8.78,32.07
2025-02-10 13:05:46.933667083,South,Carrier A,Road,1923.78,37,9.42,14.7,43.51
2025-02-11 00:01:48.135168961,West,Carrier C,Air,478.35,85,8.66,2.51,7.74
2025-02-11 10:57:49.336670838,West,Carrier C,Sea,1281.29,8,9.84,14.51,44.71
2025-02-11 21:53:50.538172715,South,Carrier A,Sea,1026.72,28,6.65,5.84,35.12
2025-02-12 08:49:51.739674593,South,Carrier A,Road,408.62,5,3.23,4.31,10.27
2025-02-12 19:45:52.941176470,South,Carrier D,Rail,950.46,17,2.47,3.85,14.21
2025-02-13 06:41:54.142678347,South,Carrier D,Road,217.02,36,2.68,2.44,6.39
2025-02-13 17:37:55.344180225,South,Carrier B,Road,113.24,19,1.18,10.38,1.0
2025-02-14 04:33:56.545682102,West,Carrier D,Sea,381.16,64,4.52,5.49,17.07
2025-02-14 15:29:57.747183979,South,Carrier C,Road,2409.63,91,2.72,17.83,48.62
2025-02-15 02:25:58.948685857,North,Carrier C,Road,1396.35,98,4.7,11.19,28.54
2025-02-15 13:22:00.150187734,East,Carrier A,Road,2416.26,11,9.41,4.21,51.67
2025-02-16 00:18:01.351689611,South,Carrier D,Road,1109.62,54,4.87,13.02,25.44
2025-02-16 11:14:02.553191489,South,Carrier B,Road,813.95,45,8.9,16.36,26.48
2025-02-16 22:10:03.754693366,West,Carrier C,Rail,1290.05,47,6.45,13.92,28.15
2025-02-17 09:06:04.956195244,South,Carrier C,Road,1126.8,12,3.22,3.22,20.63
2025-02-17 20:02:06.157697121,South,Carrier B,Sea,308.88,21,4.2,16.33,15.24
2025-02-18 06:58:07.359198998,South,Carrier B,Sea,1620.02,11,1.76,14.7,47.91
2025-02-18 17:54:08.560700876,West,Carrier C,Road,579.29,92,4.0,4.53,14.44
2025-02-19 04:50:09.762202753,South,Carrier C,Road,1567.99,5,7.1,2.83,36.72
2025-02-19 15:46:10.963704630,East,Carrier B,Road,1642.99,81,1.65,10.92,30.46
2025-02-20 02:42:12.165206508,West,Carrier C,Rail,422.46,56,2.85,4.5,11.3
2025-02-20 13:38:13.366708385,East,Carrier A,Road,200.31,20,4.43,15.35,11.21
2025-02-21 00:34:14.568210262,West,Carrier A,Rail,1962.87,41,9.84,7.73,41.09
2025-02-21 11:30:15.769712140,South,Carrier B,Road,1176.51,46,8.06,16.61,25.4
2025-02-21 22:26:16.971214017,East,Carrier D,Rail,192.5,12,7.6,11.05,9.85
2025-02-22 09:22:18.172715895,West,Carrier B,Road,2487.42,70,2.05,4.92,43.01
2025-02-22 20:18:19.374217772,North,Carrier B,Road,191.56,17,8.03,4.23,9.83
2025-02-23 07:14:20.575719649,South,Carrier D,Sea,1752.84,19,8.07,11.22,52.87
2025-02-23 18:10:21.777221527,West,Carrier D,Air,2460.01,26,6.41,14.19,11.19
2025-02-24 05:06:22.978723404,North,Carrier D,Road,635.99,48,9.91,14.5,21.96
2025-02-24 16:02:24.180225281,West,Carrier A,Sea,398.51,52,3.93,6.41,14.36
2025-02-25 02:58:25.381727159,North,Carrier C,Rail,347.39,96,9.47,5.27,12.69
2025-02-25 13:54:26.583229036,South,Carrier A,Sea,793.02,70,9.23,2.27,32.58
2025-02-26 00:50:27.784730913,East,Carrier C,Air,297.56,55,1.1,12.87,1.0
2025-02-26 11:46:28.986232791,North,Carrier A,Road,1745.8,100,5.05,3.23,34.42
2025-02-26 22:42:30.187734668,West,Carrier C,Road,202.61,75,9.79,8.73,10.83
2025-02-27 09:38:31.389236545,South,Carrier A,Road,1298.08,33,1.93,11.63,25.08
2025-02-27 20:34:32.590738423,North,Carrier D,Rail,2491.91,62,5.93,16.99,40.25
2025-02-28 07:30:33.792240300,West,Carrier B,Rail,2044.23,88,9.81,6.99,38.17
2025-02-28 18:26:34.993742177,West,Carrier A,Road,1557.29,23,6.0,6.0,35.46
2025-03-01 05:22:36.195244055,West,Carrier C,Road,800.32,15,2.71,12.47,19.38
2025-03-01 16:18:37.396745932,North,Carrier D,Sea,1578.54,27,6.24,11.91,54.53
2025-03-02 03:14:38.598247809,North,Carrier A,Sea,1341.25,75,2.84,7.31,41.29
2025-03-02 14:10:39.799749687,North,Carrier A,Rail,1093.9,64,5.68,16.85,22.07
2025-03-03 01:06:41.001251564,East,Carrier D,Road,370.24,81,1.67,15.52,8.81
2025-03-03 12:02:42.202753441,North,Carrier A,Road,2222.18,51,6.45,5.58,43.17
2025-03-03 22:58:43.404255319,North,Carrier B,Road,1151.97,53,5.65,5.83,25.78
2025-03-04 09:54:44.605757196,North,Carrier A,Sea,526.83,78,7.66,10.2,21.91
2025-03-04 20:50:45.807259073,East,Carrier B,Road,951.01,91,6.68,14.38,22.84
2025-03-05 07:46:47.008760951,North,Carrier B,Rail,1064.62,82,5.95,2.7,21.07
2025-03-05 18:42:48.210262828,West,Carrier D,Road,2077.47,92,7.21,13.09,44.5
2025-03-06 05:38:49.411764705,North,Carrier A,Rail,1847.36,51,2.3,12.37,26.52
2025-03-06 16:34:50.613266583,West,Carrier D,Rail,1934.8,47,6.36,5.7,33.67
2025-03-07 03:30:51.814768460,West,Carrier A,Sea,77.03,4,2.55,12.9,3.34
2025-03-07 14:26:53.016270338,West,Carrier A,Road,1069.58,7,9.33,17.04,23.01
2025-03-08 01:22:54.217772215,East,Carrier C,Road,1229.29,35,1.62,2.75,20.89
2025-03-08 12:18:55.419274092,East,Carrier A,Road,97.02,48,4.87,7.11,6.83
2025-03-08 23:14:56.620775970,East,Carrier D,Sea,686.54,73,7.26,9.01,29.28
2025-03-09 10:10:57.822277847,North,Carrier B,Sea,1912.71,72,5.12,16.39,54.43
2025-03-09 21:06:59.023779724,West,Carrier A,Rail,385.92,45,1.83,17.4,5.43
2025-03-10 08:03:00.225281602,East,Carrier C,Rail,1361.51,81,5.98,9.11,26.38
2025-03-10 18:59:01.426783479,East,Carrier D,Rail,577.24,81,6.77,14.0,16.95
2025-03-11 05:55:02.628285356,North,Carrier A,Road,79.7,97,7.33,10.51,7.86
2025-03-11 16:51:03.829787234,East,Carrier D,Sea,640.94,96,4.36,10.6,21.17
2025-03-12 03:47:05.031289111,North,Carrier C,Road,2440.89,72,6.07,6.45,53.14
2025-03-12 14:43:06.232790988,South,Carrier C,Road,2013.77,19,5.06,5.47,43.42
2025-03-13 01:39:07.434292866,East,Carrier D,Rail,2400.96,63,7.05,6.61,43.24
2025-03-13 12:35:08.635794743,South,Carrier A,Road,1245.24,38,6.25,10.9,27.86
2025-03-13 23:31:09.837296620,North,Carrier B,Road,318.85,67,5.73,2.47,13.98
2025-03-14 10:27:11.038798498,West,Carrier C,Air,1392.5,59,3.25,16.52,1.11
2025-03-14 21:23:12.240300375,East,Carrier A,Road,1163.22,69,1.02,4.5,24.66
2025-03-15 08:19:13.441802252,North,Carrier A,Rail,2118.67,13,2.57,5.52,32.69
2025-03-15 19:15:14.643304130,West,Carrier B,Road,290.3,47,2.05,10.29,7.62
2025-03-16 06:11:15.844806007,West,Carrier C,Road,1246.19,61,5.04,13.36,25.62
2025-03-16 17:07:17.046307884,South,Carrier C,Road,417.62,31,6.51,3.53,10.11
2025-03-17 04:03:18.247809762,North,Carrier A,Road,845.46,80,2.92,7.08,18.53
2025-03-17 14:59:19.449311639,West,Carrier A,Air,1856.52,96,9.45,17.5,13.52
2025-03-18 01:55:20.650813516,East,Carrier B,Road,1216.24,22,1.06,6.2,24.72
2025-03-18 12:51:21.852315394,East,Carrier B,Rail,970.93,93,7.95,7.01,23.13
2025-03-18 23:47:23.053817271,South,Carrier C,Rail,1016.47,86,6.63,15.38,21.96
2025-03-19 10:43:24.255319148,West,Carrier D,Rail,1175.64,43,4.36,2.8,19.12
2025-03-19 21:39:25.456821026,North,Carrier C,Sea,1973.29,67,1.45,9.43,59.52
2025-03-20 08:35:26.658322903,East,Carrier A,Air,2235.61,54,6.65,8.07,7.81
2025-03-20 19:31:27.859824780,West,Carrier C,Road,2390.57,10,4.47,7.07,50.37
2025-03-21 06:27:29.061326658,West,Carrier D,Road,1977.91,42,9.43,6.57,45.2
2025-03-21 17:23:30.262828535,South,Carrier B,Road,822.75,64,5.88,3.46,20.73
2025-03-22 04:19:31.464330412,East,Carrier D,Rail,1735.93,21,9.46,7.04,36.16
2025-03-22 15:15:32.665832290,East,Carrier D,Road,1122.13,80,2.98,2.69,25.59
2025-03-23 02:11:33.867334167,North,Carrier D,Rail,673.94,76,7.53,14.5,18.85
2025-03-23 13:07:35.068836045,East,Carrier B,Rail,2110.14,66,6.56,8.37,34.9
2025-03-24 00:03:36.270337922,North,Carrier D,Road,144.14,41,7.65,9.1,11.95
2025-03-24 10:59:37.471839799,East,Carrier D,Air,2259.32,24,2.93,16.3,4.62
2025-03-24 21:55:38.673341677,South,Carrier D,Road,1180.62,35,6.98,12.53,30.18
2025-03-25 08:51:39.874843554,East,Carrier A,Road,1611.14,56,5.48,2.13,31.64
2025-03-25 19:47:41.076345431,North,Carrier D,Air,1665.42,30,7.69,17.09,10.04
2025-03-26 06:43:42.277847309,North,Carrier B,Rail,2243.04,57,3.94,5.79,34.18
2025-03-26 17:39:43.479349186,South,Carrier D,Rail,1609.84,94,9.01,3.72,33.92
2025-03-27 04:35:44.680851063,East,Carrier D,Road,1554.14,47,1.76,14.29,32.47
2025-03-27 15:31:45.882352941,East,Carrier B,Road,213.3,35,8.26,10.01,12.58
2025-03-28 02:27:47.083854818,South,Carrier D,Sea,1320.1,19,8.75,8.94,46.83
2025-03-28 13:23:48.285356695,East,Carrier B,Air,417.91,8,8.36,5.99,10.55
2025-03-29 00:19:49.486858573,East,Carrier D,Rail,1856.71,26,5.61,10.76,34.61
2025-03-29 11:15:50.688360450,North,Carrier B,Road,1304.94,71,4.95,6.39,28.75
2025-03-29 22:11:51.889862327,East,Carrier D,Rail,1716.56,30,9.97,16.43,33.39
2025-03-30 09:07:53.091364205,East,Carrier D,Road,152.1,7,3.06,5.44,7.25
2025-03-30 20:03:54.292866082,South,Carrier A,Road,257.74,67,5.92,16.15,6.52
2025-03-31 06:59:55.494367959,South,Carrier A,Sea,1804.99,65,7.04,10.95,60.61
2025-03-31 17:55:56.695869837,West,Carrier D,Road,226.61,36,7.31,15.26,9.87
2025-04-01 04:51:57.897371714,North,Carrier D,Sea,224.58,25,2.84,13.41,8.72
2025-04-01 15:47:59.098873591,East,Carrier C,Road,79.67,37,6.89,13.15,10.35
2025-04-02 02:44:00.300375469,East,Carrier B,Road,2393.43,1,8.37,7.19,50.97
2025-04-02 13:40:01.501877346,West,Carrier C,Rail,1856.9,15,1.45,5.74,29.4
2025-04-03 00:36:02.703379223,East,Carrier A,Sea,915.47,37,9.2,5.37,37.87
2025-04-03 11:32:03.904881101,North,Carrier A,Air,776.51,13,1.27,15.72,2.7
2025-04-03 22:28:05.106382978,West,Carrier A,Sea,906.77,8,4.2,15.13,30.8
2025-04-04 09:24:06.307884855,North,Carrier A,Rail,1947.9,5,1.14,9.05,28.71
2025-04-04 20:20:07.509386733,West,Carrier D,Rail,1670.36,60,1.69,4.12,25.81
2025-04-05 07:16:08.710888610,West,Carrier A,Sea,503.73,73,9.2,8.12,21.14
2025-04-05 18:12:09.912390488,South,Carrier D,Road,476.57,1,4.19,11.91,12.21
2025-04-06 05:08:11.113892365,North,Carrier D,Rail,291.07,36,4.82,9.27,6.15
2025-04-06 16:04:12.315394242,East,Carrier A,Road,1667.74,35,2.94,14.48,31.28
2025-04-07 03:00:13.516896120,East,Carrier A,Sea,1922.71,66,6.37,17.96,56.9
2025-04-07 13:56:14.718397997,North,Carrier B,Sea,699.36,63,6.35,5.06,26.92
2025-04-08 00:52:15.919899874,East,Carrier C,Road,101.32,23,4.35,9.35,9.91
2025-04-08 11:48:17.121401752,East,Carrier A,Air,251.32,9,4.0,8.9,3.38
2025-04-08 22:44:18.322903629,North,Carrier B,Sea,2421.26,34,8.96,6.87,80.27
2025-04-09 09:40:19.524405506,West,Carrier B,Road,773.84,46,4.45,5.17,21.0
2025-04-09 20:36:20.725907384,North,Carrier C,Rail,1934.6,78,5.44,3.05,30.44
2025-04-10 07:32:21.927409261,West,Carrier D,Sea,1580.43,4,3.55,16.19,46.54
2025-04-10 18:28:23.128911138,East,Carrier A,Road,985.75,30,8.08,8.72,28.18
2025-04-11 05:24:24.330413016,East,Carrier C,Rail,553.93,95,4.58,9.95,12.29
2025-04-11 16:20:25.531914893,East,Carrier A,Road,347.4,75,5.62,16.67,9.1
2025-04-12 03:16:26.733416770,South,Carrier B,Sea,1556.78,99,3.28,14.42,46.36
2025-04-12 14:12:27.934918648,West,Carrier B,Sea,1947.85,72,9.89,4.09,66.47
2025-04-13 01:08:29.136420525,South,Carrier D,Sea,1627.57,3,3.62,11.05,48.38
2025-04-13 12:04:30.337922402,South,Carrier B,Rail,1349.24,14,7.94,9.08,21.11
2025-04-13 23:00:31.539424280,North,Carrier B,Sea,152.78,60,4.85,14.76,8.5
2025-04-14 09:56:32.740926157,South,Carrier C,Sea,2422.8,77,2.86,13.59,71.55
2025-04-14 20:52:33.942428034,North,Carrier A,Road,2006.85,45,8.2,13.05,44.71
2025-04-15 07:48:35.143929912,North,Carrier A,Sea,767.41,96,4.0,7.45,28.7
2025-04-15 18:44:36.345431790,South,Carrier C,Road,2450.93,34,8.79,14.88,53.47
2025-04-16 05:40:37.546933666,West,Carrier D,Rail,1524.61,45,9.24,2.84,31.55
2025-04-16 16:36:38.748435544,West,Carrier A,Road,1476.94,61,8.74,4.55,37.91
2025-04-17 03:32:39.949937422,West,Carrier B,Road,1882.78,83,1.32,7.37,35.57
2025-04-17 14:28:41.151439298,West,Carrier A,Road,2038.84,16,8.09,3.23,49.86
2025-04-18 01:24:42.352941176,West,Carrier B,Rail,1658.37,66,4.7,5.76,25.61
2025-04-18 12:20:43.554443054,South,Carrier D,Road,363.83,40,8.86,15.28,13.42
2025-04-18 23:16:44.755944930,South,Carrier C,Air,878.76,17,6.74,17.17,9.44
2025-04-19 10:12:45.957446808,East,Carrier A,Road,2323.8,34,8.5,6.87,53.51
2025-04-19 21:08:47.158948686,West,Carrier C,Road,600.31,16,5.49,6.23,15.97
2025-04-20 08:04:48.360450562,South,Carrier A,Rail,961.81,60,5.82,6.48,17.33
2025-04-20 19:00:49.561952440,East,Carrier B,Air,1108.59,66,2.3,6.44,7.88
2025-04-21 05:56:50.763454318,West,Carrier C,Road,1126.54,66,8.06,2.57,26.8
2025-04-21 16:52:51.964956194,North,Carrier A,Rail,1551.7,90,4.77,16.83,27.69
2025-04-22 03:48:53.166458072,East,Carrier B,Sea,2360.54,13,5.5,5.42,75.84
2025-04-22 14:44:54.367959950,South,Carrier C,Rail,639.7,56,8.07,8.72,16.23
2025-04-23 01:40:55.569461826,North,Carrier C,Road,347.68,31,6.39,2.15,11.34
2025-04-23 12:36:56.770963704,North,Carrier A,Road,533.8,34,2.81,15.73,11.3
2025-04-23 23:32:57.972465582,North,Carrier A,Sea,2222.97,39,6.31,13.7,71.81
2025-04-24 10:28:59.173967458,East,Carrier A,Road,1632.24,67,4.67,17.15,36.68
2025-04-24 21:25:00.375469336,South,Carrier B,Sea,750.47,8,5.23,14.51,26.74
2025-04-25 08:21:01.576971214,North,Carrier A,Rail,2049.07,87,1.25,7.02,34.67
2025-04-25 19:17:02.778473090,West,Carrier C,Sea,2160.36,78,2.89,5.97,64.69
2025-04-26 06:13:03.979974968,North,Carrier C,Air,2123.96,55,3.53,13.16,9.64
2025-04-26 17:09:05.181476846,North,Carrier A,Sea,2301.37,27,7.42,7.83,72.22
2025-04-27 04:05:06.382978722,East,Carrier A,Road,667.99,93,1.1,11.06,18.38
2025-04-27 15:01:07.584480600,East,Carrier D,Air,1899.85,53,4.68,2.1,11.06
2025-04-28 01:57:08.785982478,South,Carrier C,Road,1178.32,39,9.32,2.99,30.46
2025-04-28 12:53:09.987484354,West,Carrier B,Rail,2112.9,65,2.01,10.57,35.35
2025-04-28 23:49:11.188986232,East,Carrier D,Rail,1834.8,17,5.65,11.06,34.9
2025-04-29 10:45:12.390488110,North,Carrier A,Sea,1952.3,30,8.08,14.02,67.28
2025-04-29 21:41:13.591989986,South,Carrier A,Sea,1657.6,53,9.48,4.11,51.38
2025-04-30 08:37:14.793491864,North,Carrier C,Air,484.7,13,7.72,10.21,10.05
2025-04-30 19:33:15.994993742,North,Carrier A,Road,1385.32,21,7.49,5.11,33.87
2025-05-01 06:29:17.196495618,East,Carrier B,Road,2462.44,19,8.44,3.49,54.25
2025-05-01 17:25:18.397997496,South,Carrier C,Air,2346.6,53,5.02,8.57,9.11
2025-05-02 04:21:19.599499374,West,Carrier A,Road,155.78,19,8.25,4.61,11.63
2025-05-02 15:17:20.801001250,West,Carrier C,Road,453.8,57,1.07,5.55,12.15
2025-05-03 02:13:22.002503128,East,Carrier A,Road,372.74,25,9.32,7.08,17.28
2025-05-03 13:09:23.204005006,East,Carrier A,Road,1828.65,86,4.99,6.15,38.72
2025-05-04 00:05:24.405506882,South,Carrier A,Road,2053.57,31,5.98,3.4,45.82
2025-05-04 11:01:25.607008760,West,Carrier B,Road,573.1,81,3.29,3.44,14.63
2025-05-04 21:57:26.808510638,West,Carrier B,Road,1289.34,55,7.68,5.09,32.26
2025-05-05 08:53:28.010012514,West,Carrier C,Road,2109.72,23,1.69,2.81,44.16
2025-05-05 19:49:29.211514392,North,Carrier A,Sea,1845.36,32,8.85,12.02,60.62
2025-05-06 06:45:30.413016270,West,Carrier A,Road,1378.48,62,8.45,6.6,30.18
2025-05-06 17:41:31.614518146,North,Carrier B,Road,1496.35,74,2.94,6.48,30.31
2025-05-07 04:37:32.816020024,South,Carrier A,Rail,1295.48,10,8.28,7.31,27.26
2025-05-07 15:33:34.017521902,North,Carrier B,Road,778.99,100,8.08,12.6,23.83
2025-05-08 02:29:35.219023778,South,Carrier A,Sea,1434.3,72,6.69,15.93,47.91
2025-05-08 13:25:36.420525656,West,Carrier C,Air,1737.77,54,4.36,14.15,8.7
2025-05-09 00:21:37.622027534,West,Carrier A,Road,2189.64,52,3.44,13.64,48.77
2025-05-09 11:17:38.823529410,South,Carrier A,Road,1608.91,20,3.09,9.75,34.1
2025-05-09 22:13:40.025031288,East,Carrier D,Sea,1914.75,32,3.87,13.1,60.72
2025-05-10 09:09:41.226533166,South,Carrier B,Sea,442.18,14,9.13,10.84,21.48
2025-05-10 20:05:42.428035042,East,Carrier A,Rail,1180.82,50,1.7,5.46,15.52
2025-05-11 07:01:43.629536920,North,Carrier A,Rail,72.86,28,8.46,5.34,4.44
2025-05-11 17:57:44.831038798,North,Carrier D,Road,654.36,53,4.14,6.74,14.9
2025-05-12 04:53:46.032540676,North,Carrier D,Sea,1829.83,24,5.69,16.57,52.3
2025-05-12 15:49:47.234042552,West,Carrier B,Road,2479.93,79,8.15,10.76,54.37
2025-05-13 02:45:48.435544430,North,Carrier D,Sea,292.99,22,8.96,13.74,16.49
2025-05-13 13:41:49.637046308,East,Carrier C,Rail,1033.66,30,4.1,7.54,15.98
2025-05-14 00:37:50.838548184,North,Carrier D,Rail,2010.17,63,5.16,8.52,34.16
2025-05-14 11:33:52.040050062,South,Carrier C,Rail,549.89,4,4.73,4.01,10.96
